EmployeeCode,AbsentDates,TotalPresent,TotalAbsent
PSI - 2400,0,0,31
PSI - 2405,0,18,13
PSI - 2410,0,19,12
PSI - 2412,0,9,22
PSI - 2415,0,0,31
PSI - 2426,0,6,25
PSI - 2429,0,0,31
PSI - 2431,0,18,13
PSI - 2432,0,15,16
PSI - 2434,0,20,11
PSI - 2436,0,1,30
PSI - 2437,0,14,17
PSI - 2439,0,18,13
PSI - 2440,0,18,13
PSI - 2441,0,13,18
PSI - 2442,0,17,9
PSI - 2443,0,8,23
PSI - 2446,0,18,13
PSI - 2449,0,12,19
PSI - 2450,0,18,13
PSI - 2451,0,19,12
PSI - 2452,0,11,20
PSI - 2453,0,20,11
PSI - 2454,0,20,11
PSI - 2455,0,0,31
PSI - 2456,0,17,14
PSI - 2457,0,18,13
PSI - 2460,0,21,10
PSI - 2462,0,0,31
PSI - 2471,0,0,31
PSI - 2473,0,12,19
PSI - 2484,0,8,23
PSI - 2485,0,14,17
PSI - 2487,0,20,11
PSI - 2489,0,5,26
PSI - 2490,0,21,10
PSI - 2491,0,20,11
PSI - 2492,0,20,11
PSI - 2497,0,21,10
PSI - 2501,0,3,28
PSI - 2506,0,19,12
PSI - 2511,0,10,21
PSI - 2513,0,15,16
PSI - 2518,0,0,31
PSI - 2520,0,4,27
PSI - 2532,0,2,29
PSI - 2537,0,7,24
PSI - 2538,0,0,31
PSI - 2540,0,0,31
PSI - 2543,0,11,20
PSI - 2544,0,12,19
PSI - 2547,0,0,31
PSI - 2549,0,0,31
PSI - 2551,0,0,31
PSI - 2552,0,18,13
PSI - 2554,0,0,31
PSI - 2555,0,0,31
PSI - 2558,0,9,22
PSI - 2559,0,0,31
PSI - 2562,0,10,21
PSI - 2564,0,13,18
PSI - 2565,0,20,11
PSI - 2570,0,0,31
PSI - 2571,0,18,13
PSI - 2572,0,0,31
PSI - 2574,0,0,31
PSI - 2578,0,16,15
PSI - 2580,0,18,13
PSI - 2582,0,15,16
PSI - 2583,0,18,13
PSI - 2584,0,9,22
PSI - 2585,0,0,31
PSI - 2588,0,0,31
PSI - 2590,0,14,17
PSI - 2593,0,0,31
PSI - 2598,0,12,19
PSI - 2600,0,0,31
PSI - 2602,0,21,10
PSI - 2603,0,19,12
PSI - 2604,0,18,13
PSI - 2607,0,16,15
PSI - 2608,0,0,31
PSI - 2609,0,19,12
PSI - 2613,0,18,13
PSI - 2614,0,21,10
PSI - 2617,0,11,20
PSI - 2619,0,1,30
PSI - 2620,0,13,18
PSI - 2621,0,20,11
PSI - 2627,0,4,27
PSI - 2630,0,19,12
PSI - 2632,0,15,16
PSI - 2634,0,17,14
PSI - 2637,0,0,31
PSI - 2638,0,19,12
PSI - 2639,0,16,15
PSI - 2641,0,19,12
PSI - 2642,0,0,31
PSI - 2648,0,0,31
PSI - 2650,0,15,16
PSI - 2654,0,10,21
PSI - 2655,0,14,17
PSI - 2656,0,13,18
PSI - 2664,0,0,26
PSI - 2665,0,18,13
PSI - 2669,0,19,12
PSI - 2670,0,8,23
PSI - 2673,0,16,15
PSI - 2677,0,17,14
PSI - 2678,0,16,15
PSI - 2682,0,0,31
PSI - 2683,0,18,13
PSI - 2684,0,0,31
PSI - 2686,0,21,10
PSI - 2687,0,14,17
PSI - 2690,0,20,11
PSI - 2691,0,2,29
PSI - 2692,0,21,10
PSI - 2693,0,11,20
PSI - 2695,0,16,15
PSI - 2700,0,12,19
PSI - 2703,0,20,11
PSI - 2705,0,1,30
PSI - 2706,0,10,21
PSI - 2707,0,0,31
PSI - 2708,0,19,12
PSI - 2710,0,20,11
PSI - 2711,0,0,31
PSI - 2712,0,21,10
PSI - 2714,0,0,31
PSI - 2716,0,23,8
PSI - 2719,0,11,20
PSI - 2721,0,7,24
PSI - 2725,0,12,19
PSI - 2726,0,15,16
PSI - 2728,0,5,26
PSI - 2729,0,20,11
PSI - 2732,0,18,13
PSI - 2735,0,17,14
PSI - 2737,0,19,12
PSI - 2740,0,0,31
PSI - 2745,0,0,31
PSI - 2747,0,10,21
PSI - 2749,0,5,26
PSI - 2750,0,21,10
PSI - 2751,0,0,31
PSI - 2752,0,21,10
PSI - 2753,0,19,12
PSI - 2754,0,0,31
PSI - 2755,0,18,13
PSI - 2758,0,20,11
PSI - 2759,0,13,18
PSI - 2760,0,21,5
PSI - 2761,0,0,31
PSI - 2762,0,17,14
PSI - 2763,0,21,10
PSI - 2764,0,4,22
PSI - 2766,0,20,11
PSI - 2767,0,19,12
PSI - 2768,0,5,26
PSI - 2771,0,4,27
PSI - 2773,0,20,11
PSI - 2776,0,0,31
PSI - 2777,0,19,12
PSI - 2778,0,17,14
PSI - 2779,0,19,12
PSI - 2782,0,13,18
PSI - 2784,0,12,19
PSI - 2785,0,21,10
PSI - 2788,0,0,31
